"","Year","State","Sport","Girls Participation","Boys Participation","year_cleaned"
"1","2018/2019","AL","Basketball",8559,13648,2018
"2","2018/2019","AL","Bowling",610,731,2018
"3","2018/2019","AL","Cross Country",2669,3804,2018
"4","2018/2019","AL","Golf",784,1690,2018
"5","2018/2019","AL","Heptathlon",66,0,2018
"6","2018/2019","AL","Soccer",5434,6916,2018
"7","2018/2019","AL","Base/Softball",9752,0,2018
"8","2018/2019","AL","Swimming & Diving",882,742,2018
"9","2018/2019","AL","Tennis",1926,1504,2018
"10","2018/2019","AL","Track and Field",2047,2728,2018
"11","2018/2019","AL","Track and Field",5962,8317,2018
"12","2018/2019","AL","Volleyball",10310,0,2018
"13","2018/2019","AK","Base/Softball",16,717,2018
"14","2018/2019","AK","Basketball",1513,1920,2018
"15","2018/2019","AK","Bowling",110,110,2018
"16","2018/2019","AK","Canoe Paddling",154,6,2018
"17","2018/2019","AK","Competitive Spirit* (Boys who cheer/Girls who cheer)",209,25,2018
"18","2018/2019","AK","Cross Country",791,1003,2018
"19","2018/2019","AK","Dance/Drill",3,2,2018
"20","2018/2019","AK","Dance Team, Jazz",50,0,2018
"21","2018/2019","AK","Flag Football",475,0,2018
"22","2018/2019","AK","Football",52,1564,2018
"23","2018/2019","AK","Gymnastics",103,0,2018
"24","2018/2019","AK","Ice/Field Hockey",40,614,2018
"25","2018/2019","AK","Mixed 6-Coed Volleyball",600,327,2018
"26","2018/2019","AK","Riflery",56,140,2018
"27","2018/2019","AK","Skiing",324,582,2018
"28","2018/2019","AK","Soccer",960,929,2018
"29","2018/2019","AK","Base/Softball",767,2,2018
"30","2018/2019","AK","Swimming & Diving",466,398,2018
"31","2018/2019","AK","Tennis",225,205,2018
"32","2018/2019","AK","Track and Field",961,1225,2018
"33","2018/2019","AK","Volleyball",1907,327,2018
"34","2018/2019","AK","Wrestling",347,1249,2018
"35","2018/2019","AZ","Badminton",1412,0,2018
"36","2018/2019","AZ","Base/Softball",18,7509,2018
"37","2018/2019","AZ","Basketball",6322,8219,2018
"38","2018/2019","AZ","Competitive Spirit* (Boys who cheer/Girls who cheer)",6098,322,2018
"39","2018/2019","AZ","Cross Country",2687,3507,2018
"40","2018/2019","AZ","Football",79,16498,2018
"41","2018/2019","AZ","Football",9,1974,2018
"42","2018/2019","AZ","Golf",988,1634,2018
"43","2018/2019","AZ","Sand Volleyball",951,0,2018
"44","2018/2019","AZ","Soccer",6489,7848,2018
"45","2018/2019","AZ","Base/Softball",6690,0,2018
"46","2018/2019","AZ","Swimming & Diving",3232,2641,2018
"47","2018/2019","AZ","Tennis",2672,2131,2018
"48","2018/2019","AZ","Track and Field",6530,8984,2018
"49","2018/2019","AZ","Volleyball",8159,2359,2018
"50","2018/2019","AZ","Wrestling",481,4894,2018
"51","2018/2019","AR","Adapted Basketball",59,135,2018
"52","2018/2019","AR","Adapted Bowling",33,42,2018
"53","2018/2019","AR","Adapted Soccer",54,13,2018
"54","2018/2019","AR","Air Riflery",14,16,2018
"55","2018/2019","AR","Archery",475,539,2018
"56","2018/2019","AR","Base/Softball",10,5489,2018
"57","2018/2019","AR","Basketball",4000,5144,2018
"58","2018/2019","AR","Bowling",655,732,2018
"59","2018/2019","AR","Competitive Spirit* (Boys who cheer/Girls who cheer)",1846,77,2018
"60","2018/2019","AR","Cross Country",1506,1862,2018
"61","2018/2019","AR","Dance",741,14,2018
"62","2018/2019","AR","Decathlon",17,85,2018
"63","2018/2019","AR","Football",7,10255,2018
"64","2018/2019","AR","Football",1,119,2018
"65","2018/2019","AR","Golf",697,1211,2018
"66","2018/2019","AR","Gymnastics",25,0,2018
"67","2018/2019","AR","Heptathlon",53,3,2018
"68","2018/2019","AR","Lacrosse",50,100,2018
"69","2018/2019","AR","Riflery",14,16,2018
"70","2018/2019","AR","Rodeo",24,55,2018
"71","2018/2019","AR","Soccer",2461,3038,2018
"72","2018/2019","AR","Base/Softball",4392,0,2018
"73","2018/2019","AR","Swimming & Diving",572,532,2018
"74","2018/2019","AR","Tennis",1062,946,2018
"75","2018/2019","AR","Track and Field",808,1151,2018
"76","2018/2019","AR","Track and Field",3361,8363,2018
"77","2018/2019","AR","Trap Shooting",328,1330,2018
"78","2018/2019","AR","Unified Track and Field",54,34,2018
"79","2018/2019","AR","Volleyball",2923,0,2018
"80","2018/2019","AR","Wrestling",54,1137,2018
"81","2018/2019","CA","Adapted Bowling",2,0,2018
"82","2018/2019","CA","Adapted Soccer",40,70,2018
"83","2018/2019","CA","Adapted Base/Softball",10,30,2018
"84","2018/2019","CA","Adapted Track",30,102,2018
"85","2018/2019","CA","Archery",144,135,2018
"86","2018/2019","CA","Badminton",5026,3830,2018
"87","2018/2019","CA","Base/Softball",418,44347,2018
"88","2018/2019","CA","Basketball",35902,48111,2018
"89","2018/2019","CA","Bowling",8,17,2018
"90","2018/2019","CA","Competitive Spirit* (Boys who cheer/Girls who cheer)",15705,880,2018
"91","2018/2019","CA","Crew",240,167,2018
"92","2018/2019","CA","Cross Country",24208,31880,2018
"93","2018/2019","CA","Decathlon",149,178,2018
"94","2018/2019","CA","Equestrian",309,19,2018
"95","2018/2019","CA","Fencing",97,149,2018
"96","2018/2019","CA","Ice/Field Hockey",4058,150,2018
"97","2018/2019","CA","Flag Football",660,406,2018
"98","2018/2019","CA","Football",593,91305,2018
"99","2018/2019","CA","Football",16,1,2018
"100","2018/2019","CA","Football",17,2068,2018
"101","2018/2019","CA","Golf",8862,11023,2018
"102","2018/2019","CA","Gymnastics",772,5,2018
"103","2018/2019","CA","Ice/Field Hockey",29,495,2018
"104","2018/2019","CA","Lacrosse",9840,10189,2018
"105","2018/2019","CA","Martial Arts",42,42,2018
"106","2018/2019","CA","Mt. Biking",121,308,2018
"107","2018/2019","CA","Riflery",47,63,2018
"108","2018/2019","CA","Rock Climbing",49,47,2018
"109","2018/2019","CA","Rodeo",49,35,2018
"110","2018/2019","CA","Roller Hockey",66,207,2018
"111","2018/2019","CA","Rugby",264,896,2018
"112","2018/2019","CA","Sailing",120,188,2018
"113","2018/2019","CA","Sand Volleyball",1286,683,2018
"114","2018/2019","CA","Skiing",150,221,2018
"115","2018/2019","CA","Skiing",35,43,2018
"116","2018/2019","CA","Snowboarding",110,216,2018
"117","2018/2019","CA","Soccer",49342,54996,2018
"118","2018/2019","CA","Base/Softball",32233,1712,2018
"119","2018/2019","CA","Base/Softball",20,12,2018
"120","2018/2019","CA","Squash",45,59,2018
"121","2018/2019","CA","Surfing",462,1034,2018
"122","2018/2019","CA","Swimming & Diving",29576,21822,2018
"123","2018/2019","CA","Tennis",23546,19230,2018
"124","2018/2019","CA","Track and Field",45235,55335,2018
"125","2018/2019","CA","Trap Shooting",132,297,2018
"126","2018/2019","CA","Ultimate Frisbee",48,91,2018
"127","2018/2019","CA","Volleyball",45997,22224,2018
"128","2018/2019","CA","Water Polo",16568,17304,2018
"129","2018/2019","CA","Weight Lifting",228,565,2018
"130","2018/2019","CA","Wrestling",6014,22602,2018
"131","2018/2019","CO","Base/Softball",183,7825,2018
"132","2018/2019","CO","Basketball",9045,11723,2018
"133","2018/2019","CO","Competitive Spirit* (Boys who cheer/Girls who cheer)",4825,181,2018
"134","2018/2019","CO","Cross Country",4001,4122,2018
"135","2018/2019","CO","Ice/Field Hockey",636,0,2018
"136","2018/2019","CO","Football",141,15593,2018
"137","2018/2019","CO","Football",9,543,2018
"138","2018/2019","CO","Football",8,751,2018
"139","2018/2019","CO","Golf",1541,2167,2018
"140","2018/2019","CO","Gymnastics",532,0,2018
"141","2018/2019","CO","Ice/Field Hockey",22,1042,2018
"142","2018/2019","CO","Lacrosse",1534,3179,2018
"143","2018/2019","CO","Skiing",171,135,2018
"144","2018/2019","CO","Skiing",103,112,2018
"145","2018/2019","CO","Soccer",6829,8241,2018
"146","2018/2019","CO","Base/Softball",4164,0,2018
"147","2018/2019","CO","Swimming & Diving",4600,1722,2018
"148","2018/2019","CO","Tennis",4053,3083,2018
"149","2018/2019","CO","Track and Field",7621,10243,2018
"150","2018/2019","CO","Volleyball",11672,0,2018
"151","2018/2019","CO","Wrestling",140,5290,2018
"152","2018/2019","CT","Base/Softball",17,5663,2018
"153","2018/2019","CT","Basketball",3718,5349,2018
"154","2018/2019","CT","Competitive Spirit* (Boys who cheer/Girls who cheer)",2902,168,2018
"155","2018/2019","CT","Cross Country",2731,4038,2018
"156","2018/2019","CT","Ice/Field Hockey",3211,0,2018
"157","2018/2019","CT","Football",42,9017,2018
"158","2018/2019","CT","Golf",713,1589,2018
"159","2018/2019","CT","Gymnastics",458,0,2018
"160","2018/2019","CT","Ice/Field Hockey",21,1471,2018
"161","2018/2019","CT","Lacrosse",3904,4035,2018
"162","2018/2019","CT","Soccer",5661,7030,2018
"163","2018/2019","CT","Base/Softball",3897,0,2018
"164","2018/2019","CT","Swimming & Diving",2615,1872,2018
"165","2018/2019","CT","Tennis",3316,2312,2018
"166","2018/2019","CT","Track and Field",4628,5095,2018
"167","2018/2019","CT","Track and Field",6630,7749,2018
"168","2018/2019","CT","Volleyball",4968,929,2018
"169","2018/2019","CT","Wrestling",131,2307,2018
"170","2018/2019","DC","Archery",4,10,2018
"171","2018/2019","DC","Basketball",666,1164,2018
"172","2018/2019","DC","Bowling",75,9,2018
"173","2018/2019","DC","Canoe Paddling",6,0,2018
"174","2018/2019","DC","Competitive Spirit* (Boys who cheer/Girls who cheer)",229,0,2018
"175","2018/2019","DC","Crew",320,234,2018
"176","2018/2019","DC","Cross Country",438,505,2018
"177","2018/2019","DC","Cycling",17,7,2018
"178","2018/2019","DC","Dance",13,0,2018
"179","2018/2019","DC","Equestrian",14,0,2018
"180","2018/2019","DC","Ice/Field Hockey",255,0,2018
"181","2018/2019","DC","Flag Football",221,16,2018
"182","2018/2019","DC","Golf",35,133,2018
"183","2018/2019","DC","Ice/Field Hockey",89,142,2018
"184","2018/2019","DC","Lacrosse",301,429,2018
"185","2018/2019","DC","Martial Arts",4,4,2018
"186","2018/2019","DC","Rock Climbing",24,42,2018
"187","2018/2019","DC","Skiing",27,30,2018
"188","2018/2019","DC","Snowboarding",43,133,2018
"189","2018/2019","DC","Soccer",700,910,2018
"190","2018/2019","DC","Base/Softball",349,0,2018
"191","2018/2019","DC","Squash",45,33,2018
"192","2018/2019","DC","Swimming & Diving",267,269,2018
"193","2018/2019","DC","Tennis",170,250,2018
"194","2018/2019","DC","Track and Field",392,489,2018
"195","2018/2019","DC","Track and Field",516,708,2018
"196","2018/2019","DC","Ultimate Frisbee",185,256,2018
"197","2018/2019","DC","Volleyball",676,0,2018
"198","2018/2019","DC","Wrestling",7,183,2018
"199","2018/2019","DE","Basketball",1058,1604,2018
"200","2018/2019","DE","Bowling",2,9,2018
"201","2018/2019","DE","Crew",137,92,2018
"202","2018/2019","DE","Cross Country",775,1060,2018
"203","2018/2019","DE","Ice/Field Hockey",1483,0,2018
"204","2018/2019","DE","Football",8,2843,2018
"205","2018/2019","DE","Golf",161,334,2018
"206","2018/2019","DE","Ice/Field Hockey",2,116,2018
"207","2018/2019","DE","Lacrosse",981,1545,2018
"208","2018/2019","DE","Sailing",3,8,2018
"209","2018/2019","DE","Soccer",1526,2062,2018
"210","2018/2019","DE","Base/Softball",1022,0,2018
"211","2018/2019","DE","Squash",28,42,2018
"212","2018/2019","DE","Swimming & Diving",736,670,2018
"213","2018/2019","DE","Tennis",552,485,2018
"214","2018/2019","DE","Track and Field",843,892,2018
"215","2018/2019","DE","Track and Field",1110,1399,2018
"216","2018/2019","DE","Unified Basketball",47,100,2018
"217","2018/2019","DE","Unified Flag Football",37,111,2018
"218","2018/2019","DE","Unified Track and Field",51,56,2018
"219","2018/2019","DE","Volleyball",1526,184,2018
"220","2018/2019","DE","Wrestling",11,872,2018
"221","2018/2019","FL","Adapted Track",25,20,2018
"222","2018/2019","FL","Base/Softball",119,20763,2018
"223","2018/2019","FL","Basketball",13388,21652,2018
"224","2018/2019","FL","Bowling",1712,1547,2018
"225","2018/2019","FL","Competitive Spirit* (Boys who cheer/Girls who cheer)",5865,215,2018
"226","2018/2019","FL","Cross Country",7563,8709,2018
"227","2018/2019","FL","Flag Football",7683,0,2018
"228","2018/2019","FL","Football",89,40361,2018
"229","2018/2019","FL","Golf",2561,4188,2018
"230","2018/2019","FL","Lacrosse",6158,7477,2018
"231","2018/2019","FL","Soccer",17595,19923,2018
"232","2018/2019","FL","Base/Softball",12666,0,2018
"233","2018/2019","FL","Swimming & Diving",8603,7333,2018
"234","2018/2019","FL","Tennis",5703,5226,2018
"235","2018/2019","FL","Track and Field",16804,18924,2018
"236","2018/2019","FL","Volleyball",20047,2784,2018
"237","2018/2019","FL","Water Polo",1307,1328,2018
"238","2018/2019","FL","Weight Lifting",6155,5416,2018
"239","2018/2019","FL","Wrestling",475,7789,2018
"240","2018/2019","GA","Adapted Basketball",94,198,2018
"241","2018/2019","GA","Adapted Football",27,66,2018
"242","2018/2019","GA","Adapted Track",98,201,2018
"243","2018/2019","GA","Adaptive Handball",23,66,2018
"244","2018/2019","GA","Base/Softball",23,12526,2018
"245","2018/2019","GA","Basketball",8477,12593,2018
"246","2018/2019","GA","Competitive Spirit* (Boys who cheer/Girls who cheer)",4819,85,2018
"247","2018/2019","GA","Cross Country",6316,8213,2018
"248","2018/2019","GA","Fencing",189,243,2018
"249","2018/2019","GA","Football",56,31904,2018
"250","2018/2019","GA","Golf",1858,3084,2018
"251","2018/2019","GA","Gymnastics",588,0,2018
"252","2018/2019","GA","Lacrosse",3632,4260,2018
"253","2018/2019","GA","Riflery",494,696,2018
"254","2018/2019","GA","Soccer",10430,11944,2018
"255","2018/2019","GA","Base/Softball",7823,0,2018
"256","2018/2019","GA","Base/Softball",486,0,2018
"257","2018/2019","GA","Swimming & Diving",4915,3987,2018
"258","2018/2019","GA","Team Tennis",5126,4433,2018
"259","2018/2019","GA","Track and Field",11454,14366,2018
"260","2018/2019","GA","Volleyball",8704,0,2018
"261","2018/2019","GA","Weight Lifting",607,1928,2018
"262","2018/2019","GA","Wrestling",427,7943,2018
"263","2018/2019","HI","Air Riflery",468,525,2018
"264","2018/2019","HI","Base/Softball",11,1669,2018
"265","2018/2019","HI","Basketball",1286,1791,2018
"266","2018/2019","HI","Bowling",413,475,2018
"267","2018/2019","HI","Canoe Paddling",1254,1335,2018
"268","2018/2019","HI","Competitive Spirit* (Boys who cheer/Girls who cheer)",805,0,2018
"269","2018/2019","HI","Cross Country",882,1160,2018
"270","2018/2019","HI","Football",24,4310,2018
"271","2018/2019","HI","Football",1,134,2018
"272","2018/2019","HI","Golf",270,354,2018
"273","2018/2019","HI","Judo",543,755,2018
"274","2018/2019","HI","Kayaking",110,92,2018
"275","2018/2019","HI","Soccer",1544,1706,2018
"276","2018/2019","HI","Base/Softball",1263,0,2018
"277","2018/2019","HI","Soft Tennis",166,125,2018
"278","2018/2019","HI","Surfing",22,54,2018
"279","2018/2019","HI","Swimming & Diving",902,663,2018
"280","2018/2019","HI","Tennis",866,583,2018
"281","2018/2019","HI","Track and Field",1653,2081,2018
"282","2018/2019","HI","Unified Track and Field",32,32,2018
"283","2018/2019","HI","Volleyball",1926,1516,2018
"284","2018/2019","HI","Water Polo",625,143,2018
"285","2018/2019","HI","Wrestling",620,1113,2018
"286","2018/2019","ID","Basketball",3346,3831,2018
"287","2018/2019","ID","Competitive Spirit* (Boys who cheer/Girls who cheer)",1726,141,2018
"288","2018/2019","ID","Cross Country",1448,1998,2018
"289","2018/2019","ID","Football",18,6482,2018
"290","2018/2019","ID","Football",1,961,2018
"291","2018/2019","ID","Golf",645,1061,2018
"292","2018/2019","ID","Soccer",2271,2191,2018
"293","2018/2019","ID","Base/Softball",2350,0,2018
"294","2018/2019","ID","Swimming & Diving",746,571,2018
"295","2018/2019","ID","Tennis",1196,1205,2018
"296","2018/2019","ID","Track and Field",3659,4273,2018
"297","2018/2019","ID","Volleyball",3835,0,2018
"298","2018/2019","ID","Wrestling",112,2519,2018
"299","2018/2019","IL","Badminton",4173,0,2018
"300","2018/2019","IL","Basketball",16119,23674,2018
"301","2018/2019","IL","Bowling",3163,2972,2018
"302","2018/2019","IL","Competitive Spirit* (Boys who cheer/Girls who cheer)",6837,0,2018
"303","2018/2019","IL","Cross Country",9865,11320,2018
"304","2018/2019","IL","Dance",4361,0,2018
"305","2018/2019","IL","Golf",4052,7322,2018
"306","2018/2019","IL","Gymnastics",1695,1338,2018
"307","2018/2019","IL","Lacrosse",2950,4340,2018
"308","2018/2019","IL","Soccer",15918,20669,2018
"309","2018/2019","IL","Base/Softball",14198,0,2018
"310","2018/2019","IL","Swimming & Diving",6723,6306,2018
"311","2018/2019","IL","Tennis",8076,6448,2018
"312","2018/2019","IL","Track and Field",19469,24047,2018
"313","2018/2019","IL","Volleyball",21708,7341,2018
"314","2018/2019","IL","Water Polo",1943,2001,2018
"315","2018/2019","IL","Wrestling",676,14170,2018
"316","2018/2019","IN","Base/Softball",9,10449,2018
"317","2018/2019","IN","Basketball",7721,10767,2018
"318","2018/2019","IN","Cross Country",4634,5592,2018
"319","2018/2019","IN","Football",46,20344,2018
"320","2018/2019","IN","Golf",2467,3544,2018
"321","2018/2019","IN","Gymnastics",573,0,2018
"322","2018/2019","IN","Soccer",7420,9216,2018
"323","2018/2019","IN","Base/Softball",7939,0,2018
"324","2018/2019","IN","Swimming & Diving",4383,3544,2018
"325","2018/2019","IN","Tennis",6007,4488,2018
"326","2018/2019","IN","Track and Field",10667,13593,2018
"327","2018/2019","IN","Unified Flag Football",142,269,2018
"328","2018/2019","IN","Unified Track and Field",1541,1369,2018
"329","2018/2019","IN","Volleyball",9602,0,2018
"330","2018/2019","IN","Wrestling",259,6363,2018
"331","2018/2019","IA","Basketball",7285,10964,2018
"332","2018/2019","IA","Bowling",1372,1870,2018
"333","2018/2019","IA","Cross Country",4700,5619,2018
"334","2018/2019","IA","Football",35,15984,2018
"335","2018/2019","IA","Football",5,1762,2018
"336","2018/2019","IA","Golf",3410,4896,2018
"337","2018/2019","IA","Soccer",5818,6699,2018
"338","2018/2019","IA","Base/Softball",7538,430,2018
"339","2018/2019","IA","Swimming & Diving",1647,1425,2018
"340","2018/2019","IA","Tennis",3707,2515,2018
"341","2018/2019","IA","Track and Field",9908,12012,2018
"342","2018/2019","IA","Volleyball",10718,549,2018
"343","2018/2019","IA","Wrestling",204,6523,2018
"344","2018/2019","KS","Base/Softball",9,6493,2018
"345","2018/2019","KS","Basketball",6530,8788,2018
"346","2018/2019","KS","Bowling",908,985,2018
"347","2018/2019","KS","Competitive Spirit* (Boys who cheer/Girls who cheer)",1550,0,2018
"348","2018/2019","KS","Cross Country",2816,3857,2018
"349","2018/2019","KS","Football",19,12586,2018
"350","2018/2019","KS","Football",2,1919,2018
"351","2018/2019","KS","Golf",1171,2633,2018
"352","2018/2019","KS","Gymnastics",127,0,2018
"353","2018/2019","KS","Soccer",3524,4313,2018
"354","2018/2019","KS","Base/Softball",5160,0,2018
"355","2018/2019","KS","Swimming & Diving",2178,1695,2018
"356","2018/2019","KS","Tennis",2795,2540,2018
"357","2018/2019","KS","Track and Field",7304,10048,2018
"358","2018/2019","KS","Volleyball",8278,0,2018
"359","2018/2019","KS","Wrestling",276,4724,2018
"360","2018/2019","KY","Archery",2504,2597,2018
"361","2018/2019","KY","Base/Softball",17,7143,2018
"362","2018/2019","KY","Basketball",5273,6938,2018
"363","2018/2019","KY","Bass Fishing",96,1510,2018
"364","2018/2019","KY","Bowling",827,1081,2018
"365","2018/2019","KY","Competitive Spirit* (Boys who cheer/Girls who cheer)",5081,166,2018
"366","2018/2019","KY","Cross Country",2680,3157,2018
"367","2018/2019","KY","Dance",1374,11,2018
"368","2018/2019","KY","Ice/Field Hockey",649,0,2018
"369","2018/2019","KY","Football",42,13033,2018
"370","2018/2019","KY","Golf",1192,1934,2018
"371","2018/2019","KY","Lacrosse",854,687,2018
"372","2018/2019","KY","Soccer",5847,6603,2018
"373","2018/2019","KY","Base/Softball",5626,0,2018
"374","2018/2019","KY","Swimming & Diving",2220,1663,2018
"375","2018/2019","KY","Tennis",2725,2145,2018
"376","2018/2019","KY","Track and Field",5591,6873,2018
"377","2018/2019","KY","Unified Track and Field",141,155,2018
"378","2018/2019","KY","Volleyball",6264,0,2018
"379","2018/2019","KY","Wrestling",123,1902,2018
"380","2018/2019","LA","Basketball",5273,7848,2018
"381","2018/2019","LA","Bowling",455,679,2018
"382","2018/2019","LA","Cross Country",2386,2928,2018
"383","2018/2019","LA","Dance/Drill",6378,0,2018
"384","2018/2019","LA","Drill Team",5308,0,2018
"385","2018/2019","LA","Golf",279,935,2018
"386","2018/2019","LA","Gymnastics",159,31,2018
"387","2018/2019","LA","Soccer",4195,4927,2018
"388","2018/2019","LA","Base/Softball",6295,0,2018
"389","2018/2019","LA","Swimming & Diving",1370,1164,2018
"390","2018/2019","LA","Tennis",1932,1414,2018
"391","2018/2019","LA","Track and Field",1320,1723,2018
"392","2018/2019","LA","Track and Field",6989,9138,2018
"393","2018/2019","LA","Volleyball",5068,0,2018
"394","2018/2019","LA","Weight Lifting",1053,1499,2018
"395","2018/2019","LA","Wrestling",16,1772,2018
"396","2018/2019","ME","Badminton",50,150,2018
"397","2018/2019","ME","Base/Softball",1,3033,2018
"398","2018/2019","ME","Basketball",2519,3423,2018
"399","2018/2019","ME","Bowling",7,6,2018
"400","2018/2019","ME","Canoe Paddling",2,14,2018
"401","2018/2019","ME","Competitive Spirit* (Boys who cheer/Girls who cheer)",1030,31,2018
"402","2018/2019","ME","Crew",29,26,2018
"403","2018/2019","ME","Cross Country",971,1343,2018
"404","2018/2019","ME","Dance",16,2,2018
"405","2018/2019","ME","Decathlon",9,7,2018
"406","2018/2019","ME","Equestrian",2,0,2018
"407","2018/2019","ME","Fencing",1,4,2018
"408","2018/2019","ME","Ice/Field Hockey",2016,0,2018
"409","2018/2019","ME","Football",6,3207,2018
"410","2018/2019","ME","Golf",132,975,2018
"411","2018/2019","ME","Gymnastics",8,0,2018
"412","2018/2019","ME","Ice/Field Hockey",410,1030,2018
"413","2018/2019","ME","Lacrosse",1572,1763,2018
"414","2018/2019","ME","Martial Arts",2,29,2018
"415","2018/2019","ME","Mt. Biking",1,19,2018
"416","2018/2019","ME","Riflery",26,41,2018
"417","2018/2019","ME","Rock Climbing",3,8,2018
"418","2018/2019","ME","Skiing",222,308,2018
"419","2018/2019","ME","Skiing",210,230,2018
"420","2018/2019","ME","Snowboarding",2,8,2018
"421","2018/2019","ME","Soccer",3536,3992,2018
"422","2018/2019","ME","Base/Softball",2529,0,2018
"423","2018/2019","ME","Swimming & Diving",815,560,2018
"424","2018/2019","ME","Team Tennis",1440,1128,2018
"425","2018/2019","ME","Track and Field",1402,1572,2018
"426","2018/2019","ME","Track and Field",2440,2822,2018
"427","2018/2019","ME","Ultimate Frisbee",78,132,2018
"428","2018/2019","ME","Unified Track and Field",6,9,2018
"429","2018/2019","ME","Volleyball",1141,57,2018
"430","2018/2019","ME","Weight Lifting",56,99,2018
"431","2018/2019","ME","Wrestling",78,719,2018
"432","2018/2019","MD","Adapted Basketball",58,83,2018
"433","2018/2019","MD","Adapted Bocce - Indoor",450,479,2018
"434","2018/2019","MD","Adapted Bowling",625,701,2018
"435","2018/2019","MD","Adapted Soccer",131,192,2018
"436","2018/2019","MD","Adapted Base/Softball",246,327,2018
"437","2018/2019","MD","Adapted Track",303,303,2018
"438","2018/2019","MD","Adaptive Corn Toss",20,34,2018
"439","2018/2019","MD","Adaptive Golf",6,32,2018
"440","2018/2019","MD","Adaptive Handball",49,103,2018
"441","2018/2019","MD","Adaptive Strength Training",111,121,2018
"442","2018/2019","MD","Adaptive Tennis",434,369,2018
"443","2018/2019","MD","Badminton",535,223,2018
"444","2018/2019","MD","Base/Softball",30,5215,2018
"445","2018/2019","MD","Basketball",4163,5341,2018
"446","2018/2019","MD","Bocce - Outdoor",470,382,2018
"447","2018/2019","MD","Bowling",72,142,2018
"448","2018/2019","MD","Cross Country",2728,3741,2018
"449","2018/2019","MD","Cycling",6,11,2018
"450","2018/2019","MD","Ice/Field Hockey",3856,0,2018
"451","2018/2019","MD","Football",24,12146,2018
"452","2018/2019","MD","Golf",329,1392,2018
"453","2018/2019","MD","Gymnastics",136,0,2018
"454","2018/2019","MD","Ice/Field Hockey",14,71,2018
"455","2018/2019","MD","Lacrosse",5591,6296,2018
"456","2018/2019","MD","Soccer",5840,6943,2018
"457","2018/2019","MD","Base/Softball",4653,1,2018
"458","2018/2019","MD","Swimming & Diving",2330,1795,2018
"459","2018/2019","MD","Tennis",2532,2171,2018
"460","2018/2019","MD","Track and Field",4379,5314,2018
"461","2018/2019","MD","Track and Field",5688,6924,2018
"462","2018/2019","MD","Volleyball",5226,636,2018
"463","2018/2019","MD","Wrestling",199,4415,2018
"464","2018/2019","MA","Base/Softball",9,12356,2018
"465","2018/2019","MA","Basketball",9372,12719,2018
"466","2018/2019","MA","Cross Country",5657,7127,2018
"467","2018/2019","MA","Ice/Field Hockey",7852,37,2018
"468","2018/2019","MA","Football",79,18019,2018
"469","2018/2019","MA","Golf",670,4212,2018
"470","2018/2019","MA","Gymnastics",1409,117,2018
"471","2018/2019","MA","Ice/Field Hockey",2306,7425,2018
"472","2018/2019","MA","Lacrosse",8585,8777,2018
"473","2018/2019","MA","Rugby",241,853,2018
"474","2018/2019","MA","Skiing",998,1132,2018
"475","2018/2019","MA","Skiing",338,333,2018
"476","2018/2019","MA","Soccer",12960,14551,2018
"477","2018/2019","MA","Base/Softball",9109,0,2018
"478","2018/2019","MA","Swimming & Diving",4385,2890,2018
"479","2018/2019","MA","Tennis",4646,3623,2018
"480","2018/2019","MA","Track and Field",9259,10061,2018
"481","2018/2019","MA","Track and Field",13415,14751,2018
"482","2018/2019","MA","Volleyball",10218,2680,2018
"483","2018/2019","MA","Wrestling",126,3970,2018
"484","2018/2019","MI","Adapted Bowling",21,19,2018
"485","2018/2019","MI","Adapted Soccer",12,24,2018
"486","2018/2019","MI","Archery",215,270,2018
"487","2018/2019","MI","Badminton",9,11,2018
"488","2018/2019","MI","Base/Softball",23,17211,2018
"489","2018/2019","MI","Basketball",15383,21119,2018
"490","2018/2019","MI","Bass Fishing",47,216,2018
"491","2018/2019","MI","Bowling",3120,4302,2018
"492","2018/2019","MI","Competitive Spirit* (Boys who cheer/Girls who cheer)",6672,0,2018
"493","2018/2019","MI","Crew",591,688,2018
"494","2018/2019","MI","Cross Country",8144,9588,2018
"495","2018/2019","MI","Equestrian",825,97,2018
"496","2018/2019","MI","Fencing",1,9,2018
"497","2018/2019","MI","Ice/Field Hockey",1036,0,2018
"498","2018/2019","MI","Figure Skating",350,15,2018
"499","2018/2019","MI","Flag Football",288,158,2018
"500","2018/2019","MI","Football",94,33868,2018
"501","2018/2019","MI","Football",18,1432,2018
"502","2018/2019","MI","Golf",3735,6136,2018
"503","2018/2019","MI","Gymnastics",694,0,2018
"504","2018/2019","MI","Ice/Field Hockey",280,3282,2018
"505","2018/2019","MI","Lacrosse",3195,5423,2018
"506","2018/2019","MI","Martial Arts",8,11,2018
"507","2018/2019","MI","Riflery",97,324,2018
"508","2018/2019","MI","Rugby",173,305,2018
"509","2018/2019","MI","Sailing",76,93,2018
"510","2018/2019","MI","Skiing",763,924,2018
"511","2018/2019","MI","Skiing",42,50,2018
"512","2018/2019","MI","Snowboarding",133,214,2018
"513","2018/2019","MI","Soccer",13276,14425,2018
"514","2018/2019","MI","Base/Softball",13290,0,2018
"515","2018/2019","MI","Swimming & Diving",5829,4968,2018
"516","2018/2019","MI","Synchronized Swimming",80,0,2018
"517","2018/2019","MI","Tennis",9326,6221,2018
"518","2018/2019","MI","Track and Field",275,296,2018
"519","2018/2019","MI","Track and Field",17406,23548,2018
